sample	cluster_joint_r0.3	cluster_joint_r0.5	cluster_joint_r0.8	cluster_joint_r4	tsne_x	tsne_y	modality
UMB5577_1_UMB5577_2_C7_AD004_rna	3	4	5	2	14.814841	8.044531	human_frontal_rna
UMB5577_1_UMB5577_2_C7_AD006_rna	5	6	8	22	8.984801	12.978853	human_frontal_rna
UMB5577_1_UMB5577_2_C7_AD007_rna	1	2	2	20	6.2700677	-7.740262	human_frontal_rna
UMB5577_1_UMB5577_2_C7_AD008_rna	8	9	10	35	-8.5290365	-8.381999	human_frontal_rna
UMB5577_1_UMB5577_2_C7_AD010_rna	1	1	17	18	10.870781	-10.535146	human_frontal_rna
UMB5577_1_UMB5577_2_C7_AD012_rna	10	11	14	19	-3.6063845	-2.2881742	human_frontal_rna
UMB5577_1_UMB5577_2_C8_AD001_rna	1	1	3	7	9.620636	-7.0928445	human_frontal_rna
UMB5577_1_UMB5577_2_C8_AD002_rna	3	4	5	8	15.893362	9.025072	human_frontal_rna
UMB5577_1_UMB5577_2_C8_AD004_rna	15	16	20	36	-14.471676	-7.315487	human_frontal_rna
UMB5577_1_UMB5577_2_C8_AD006_rna	4	5	4	11	-1.2720263	3.3892105	human_frontal_rna
UMB5577_1_UMB5577_2_C8_AD007_rna	5	6	8	22	8.852286	13.47856	human_frontal_rna
UMB5577_1_UMB5577_2_C8_AD008_rna	10	11	14	19	-2.9547102	-1.5808983	human_frontal_rna
UMB5577_1_UMB5577_2_C8_AD010_rna	1	2	12	17	6.0531235	-4.8017488	human_frontal_rna
UMB5577_1_UMB5577_2_C8_AD012_rna	8	9	10	30	-5.1252055	-5.656703	human_frontal_rna
UMB5577_1_UMB5577_2_C9_AD001_rna	1	1	12	17	7.232049	-4.9383626	human_frontal_rna
UMB5577_1_UMB5577_2_C9_AD002_rna	2	1	1	27	10.449178	-4.172716	human_frontal_rna
UMB5577_1_UMB5577_2_C9_AD004_rna	2	3	6	4	15.060744	-0.6128841	human_frontal_rna
UMB5577_1_UMB5577_2_C9_AD006_rna	6	7	7	32	-0.38604826	-7.310733	human_frontal_rna
UMB5577_1_UMB5577_2_C9_AD008_rna	1	1	1	27	9.469518	-5.631353	human_frontal_rna
UMB5577_1_UMB5577_2_C9_AD010_rna	1	2	2	3	7.879202	-8.247598	human_frontal_rna
UMB5577_1_UMB5577_2_C9_AD012_rna	7	8	9	6	5.6032667	4.768516	human_frontal_rna
UMB5577_1_UMB5577_2_D10_AD001_rna	1	2	2	3	5.950763	-8.60259	human_frontal_rna
UMB5577_1_UMB5577_2_D10_AD002_rna	4	5	4	21	1.6788684	0.12205109	human_frontal_rna
UMB5577_1_UMB5577_2_D10_AD004_rna	3	4	5	2	14.59334	7.517097	human_frontal_rna
